model,mpg_dec,mpg_eff,mpg_after100m,cylinders,horsepower,acceleration
datsun f-10 hatchback,33.5,33.391748748238165,31.23511537864069,4,70,16.8
datsun pl510,27,26.505778152040936,23.780021237878167,4,88,14.5
dodge aries se,29,28.177147235670763,25.6588841091593,4,84,16
dodge aries wagon (sw),25.8,26.435145707941096,24.44491754115937,4,92,14.4
dodge aspen,18.6,18.543546575982056,15.256351469575687,6,110,18.7
dodge aspen 6,20.6,20.198665591864106,18.85559985224049,6,110,16.6
dodge aspen se,20,20.015415108748307,16.449331197191768,6,100,17.7
dodge charger 2.2,36,36.5235079226881,33.483699228446255,4,84,13
dodge colt,28,27.414026404405536,25.76542683803515,4,75,14.5
dodge colt (sw),28,27.982075716808183,24.75911290104252,4,80,15
dodge colt hardtop,25,23.753444750327425,21.46999346506569,4,80,17
dodge colt hatchback custom,35.7,34.72775913358429,31.606591964051503,4,80,14.4
dodge colt m/m,33.5,34.50017449362242,31.545077015972822,4,83,15.9
dodge omni,30.9,30.26437998892068,26.073710947016018,4,75,14.5
dodge rampage,32,31.71173281253228,28.042851859337905,4,84,11.6
fiat 124 sport coupe,26,26.28805570814742,24.123582927642158,4,90,15.5
fiat 124 tc,26,26.00194276309805,20.885298978187528,4,75,14
fiat 124b,30,30.495751339248415,27.478853754767204,4,76,14.5
fiat 128,29,28.822836265132935,25.57838547565072,4,49,19.5
fiat 131,28,28.30321289066549,25.095077340270116,4,86,15.5
fiat strada custom,37.3,36.823823878642784,32.37495091279695,4,69,14.7
fiat x1.9,31,30.553375978329914,27.944196726466682,4,67,16
ford escort 2h,29.9,29.99824245146693,27.866051997813024,4,65,20.7
ford escort 4w,34.4,34.54448680286702,31.1136242226493,4,65,16.2
ford fairmont,26.4,26.709093222112397,22.56405285047792,4,88,18.1
ford fairmont (auto),20.2,20.158089055625297,18.10542925552816,6,85,15.8
ford fairmont (man),25.1,25.435678601104645,23.475059285403574,4,88,15.4
ford fairmont 4,22.3,22.394606890497275,18.739947271742665,4,88,17.3
ford fairmont futura,24,24.043336351636146,21.912161825400293,4,92,16.4
ford fiesta,36.1,35.600837436626925,32.74082400675018,4,66,14.4
ford granada,18.5,19.61179773331354,16.4591270052477,6,98,19
ford granada ghia,18,18.359118820125584,14.785844317614492,6,78,21
ford granada gl,20.2,19.320447722921884,17.169343967925926,6,88,17.1
ford granada l,22,21.923307389198783,17.430632728498264,6,112,14.7
ford maverick,21,21.610988663888556,16.956162380720773,6,85,16
ford mustang,18,18.51731771240246,15.098714491496885,6,88,14.5
ford mustang gl,27,27.70664931676133,23.860728103475598,4,86,15.6
ford mustang ii 2+2,25.5,25.829734570965822,23.479378046820933,4,89,15.8
ford pinto,19,19.168465746599924,16.84991651243837,4,85,18.5
ford pinto (sw),22,21.955727859991587,18.185388766683943,4,86,16
ford pinto runabout,21,21.129909865550985,17.358162822407532,4,86,16.5
ford ranger,28,28.317707849793095,26.272601972286424,4,79,18.6
ford torino 500,19,18.66538791948115,17.415538169955646,6,88,15.5
honda accord,32.4,33.33728775061883,29.089186208051217,4,72,17
honda accord cvcc,31.5,31.965938997411293,30.87766540387026,4,68,18.5
honda accord lx,29.5,29.371527517913975,24.794307282691115,4,68,16.6
honda civic,24,24.51644637925395,21.139642886790345,4,97,15
honda civic (auto),32,31.729114055718302,28.27641275321246,4,67,15.7
honda civic 1300,35.1,34.74846969334789,31.962266833068146,4,60,16.1
honda civic 1500 gl,44.6,44.67538487403831,42.84470150222643,4,67,13.8
honda civic cvcc,33,33.34956690288796,29.955085203332004,4,53,17.5
honda prelude,33.7,33.981159374395546,30.761232726771528,4,75,14.4
maxda glc deluxe,34.1,34.07936647844296,28.863301475719588,4,65,15.2
mazda 626,31.3,31.491443881121732,28.62046572152525,4,75,17.5
mazda glc,46.6,47.60851923053523,42.994053543740904,4,65,17.9
mazda glc 4,34.1,34.86977850330044,32.41741477044413,4,68,16
mazda glc custom,31,31.158811224135444,30.18834618389105,4,68,17.6
mazda glc custom l,37,36.90771200627891,34.118480271466034,4,68,18.2
mazda glc deluxe,32.8,33.09140970747507,29.612571346336505,4,52,19.4
mercedes-benz 240d,30,30.358484186806162,26.788354814765675,4,67,21.8
mercedes-benz 280s,16.5,16.76113522638101,13.34805483543513,6,120,16.7
mercury capri 2000,23,23.138064116164827,20.250817527174966,4,86,14
mercury capri v6,21,20.667365203126938,18.195517459120076,6,107,14
mercury lynx l,36,35.453715037678236,31.020629512977447,4,70,17.3
mercury monarch,15,14.785886932182441,12.01003747850226,6,72,21
mercury zephyr,20.8,21.17422714725865,17.691118743064706,6,85,16.7
mercury zephyr 6,19.8,20.64383674065316,18.500138910357055,6,85,18.2
nissan stanza xe,36,36.028023673593914,32.554821354450866,4,88,14.5
oldsmobile cutlass ciera (diesel),38,38.11354350875109,35.29614576814767,6,85,17
oldsmobile omega brougham,26.8,26.805777677393145,23.22778643019647,6,115,12.9
oldsmobile starfire sx,23.8,24.333344509812918,19.52734208073481,4,85,17.6
opel 1900,28,28.186372106225978,24.95686805286756,4,90,14
opel manta,24,24.941479182482198,20.06788725533069,4,75,15.5
peugeot 304,30,29.307070400033115,25.418277006627328,4,70,19.5
peugeot 504,25,24.042588320402913,22.263197420628593,4,87,17.5
peugeot 504 (sw),21,20.820549387677534,17.900751936362326,4,87,19.5
peugeot 505s turbo diesel,28.1,27.510182242426342,22.758009325616943,4,80,20.4
peugeot 604sl,16.2,16.73415600893043,14.720622202658793,6,133,15.8
plymouth arrow gs,25.5,24.855252056157376,19.1654445906764,4,96,15.5
plymouth champ,39,39.00647120263995,35.23938675576793,4,64,16.4
plymouth cricket,26,25.53664258973509,22.898320159690282,4,70,20.5
plymouth duster,22,22.456161817915888,20.26618225358945,6,95,15.5
plymouth fury,18,18.01575431657304,14.820696317788748,6,95,19
plymouth horizon,34.2,33.66822881615578,30.57193140151571,4,70,13.2
plymouth horizon 4,34.7,34.832776303093354,31.49936981373608,4,63,14.9
plymouth horizon miser,38,37.57108871560251,35.06296514432609,4,63,14.7
plymouth horizon tc3,34.5,33.65283204079385,31.53866296082309,4,70,14.9
plymouth reliant,27.2,26.749933841003994,24.069990436888137,4,84,15.7
plymouth sapporo,23.2,22.87858766334388,20.7962709961032,4,105,16.7
plymouth satellite custom,16,16.074056566373226,14.280057406664607,6,105,15.5
plymouth satellite sebring,18,18.364659672028118,15.73614470095725,6,105,16.5
plymouth valiant,18,16.9659767837721,14.17207915474478,6,105,16.5
plymouth valiant custom,19,19.34100140536188,16.640585273561147,6,95,16
plymouth volare,20.5,20.27192854712111,15.803089277158882,6,100,17.2
plymouth volare custom,19,19.324602346727808,17.64570790406795,6,100,17.7
pontiac astro,23,23.599777960177274,19.30314266513983,4,78,18.5
pontiac firebird,19,19.032762121970897,16.335666431211994,6,100,15
pontiac j2000 se hatchback,31,31.196545965663603,28.888227478648876,4,85,16.2
pontiac lemans v6,21.5,21.822045577307797,18.121675808616608,6,115,15.4
pontiac phoenix,33.5,33.16439199797566,30.938674959197723,4,90,13.2
pontiac phoenix lj,19.2,18.55364828714014,13.745890778778577,6,105,19.2
pontiac sunbird coupe,24.5,24.429842919300935,22.57174628455558,4,88,16
pontiac ventura sj,18.5,19.149989233653134,15.446883821373653,6,110,16.2
renault 12 (sw),26,25.734808103169463,25.658536278799456,4,69,18
renault 12tl,27,26.94880594119884,22.55700468894666,4,83,15.3
renault 5 gtl,36,36.69280895054817,33.075651086278825,4,58,18.6
saab 99e,25,24.92674543026974,21.973707044598314,4,95,17.5
saab 99gle,21.6,20.97544344192747,16.521235712727883,4,115,15.7
saab 99le,24,24.610416960162127,22.687590030318034,4,110,14
subaru,26,26.121560298269884,22.180839160840367,4,93,15.5
subaru dl,30,30.1216185596648,26.077494050199782,4,67,16.4
toyota carina,20,18.840308813387413,16.13092681714043,4,88,19
toyota celica gt,32,31.784021102098713,28.80701761604213,4,96,13.9
toyota celica gt liftback,21.1,20.933300178594084,16.939017211402785,4,95,14.8
toyota corolla,29,29.33832463168973,26.106949884508825,4,75,16
toyota corolla 1200,31,30.735011026642425,26.007468072704103,4,65,19
toyota corolla 1600 (sw),27,27.17975951849692,24.20599284085785,4,88,16.5
toyota corolla liftback,26,26.512766369515244,22.987715458063104,4,75,18.2
toyota corolla tercel,38.1,37.77729952866656,33.82846099939563,4,60,18.8
toyota corona,25,24.490872850134597,22.262808494898287,4,95,14
toyota corona hardtop,24,24.43967859440476,19.92385018734617,4,95,15.5
toyota corona liftback,29.8,29.016850854944057,25.950301476616357,4,90,15.5
toyota corona mark ii,24,24.036735789542128,22.719503945834628,4,95,15
toyota cressida,25.4,26.033299500333122,22.639649347578587,6,116,12.6
toyota mark ii,20,20.85064967211063,18.108802235131158,6,122,13.5
toyota starlet,39.1,38.39371493004036,34.55337749747191,4,58,16.9
toyota tercel,37.7,36.75384895062217,32.298784544228035,4,62,17.3
toyouta corona mark ii (sw),23,23.210054512082955,20.342040983515385,4,97,14.5
triumph tr7 coupe,35,34.15072257145036,30.66150069796736,4,88,15.1
vokswagen rabbit,29.8,30.09776321598868,26.74655910176627,4,62,15.3
volkswagen 1131 deluxe sedan,26,25.570450305825997,22.306399545417882,4,46,20.5
volkswagen 411 (sw),22,22.380184765272208,20.337487995983217,4,76,18
volkswagen dasher,26,26.441142010232415,23.492540344232435,4,67,15.5
volkswagen jetta,33,32.515307669573396,27.967632959475047,4,74,14.2
volkswagen model 111,27,27.25383222327413,25.18417757210683,4,60,19
volkswagen rabbit,29,28.841329103584954,26.220271344653394,4,70,14
volkswagen rabbit custom,29,29.094301373208893,27.55144753591122,4,78,14.5
volkswagen rabbit custom diesel,43.1,42.96800149748883,39.250718843997014,4,48,21.5
volkswagen rabbit l,36,35.594988035350795,32.77008375598964,4,74,15.3
volkswagen scirocco,31.5,32.772634002105,30.4367912928526,4,71,14.9
volkswagen super beetle,26,26.719055099131385,24.62522854727858,4,46,21
volkswagen type 3,23,22.718964412537186,18.58564639714083,4,54,23.5
volvo 144ea,19,18.73738922165024,15.471180259095494,4,112,15.5
volvo 145e (sw),18,18.50324534777774,14.58822171869649,4,112,14.5
volvo 244dl,22,21.562554543674548,18.546445699558323,4,98,14.5
volvo 245,20,19.353540651585057,16.484415438764348,4,102,15.7
volvo 264gl,17,17.53936996173218,15.449934760010647,6,125,13.6
volvo diesel,30.7,30.798406246515977,27.09561698515165,6,76,19.6
vw dasher (diesel),43.4,42.94751330555747,39.87357469953838,4,48,23.7
vw pickup,44,43.973217108485336,40.52659666849639,4,52,24.6
vw rabbit,29,28.29666802158205,23.06545458572376,4,70,14.2
vw rabbit c (diesel),44.3,43.34307281969334,40.180233019030226,4,48,21.7
vw rabbit custom,31.9,32.4693610557992,29.78214932910268,4,71,14
